ALL,Yard / Landscaping,Exterior - General,Interior - General,Entryway / Foyer,Living Room,Family Room,Dining Room,Kitchen,Appliances,Hallway / Stairs,Bedrooms,Bathrooms,Laundry Room,Garage,Basement,Bonus Room,Attic,Crawlspace,Shed / Pool House,Pool,Inspections / Utilities,Other &Additional Recommendations
Anti-Theft A/C Cage,Backfill,Anti-Theft A/C Cage,Cabinets/Vanities,Caulking/Sealants,Caulking/Sealants,Caulking/Sealants,Caulking/Sealants,Cabinets/Vanities,Appliances,Caulking/Sealants,Caulking/Sealants,Bathtubs,Cabinets/Vanities,Caulking/Sealants,Anti-Theft A/C Cage,Caulking/Sealants,Caulking/Sealants,Caulking/Sealants,Cabinets/Vanities,Caulking/Sealants,Construction Fees,Anti-Theft A/C Cage
Appliances,Excavation,Backfill,Bathtubs,Carpentry,Carpentry,Carpentry,Carpentry,Carpentry,,Carpentry,Carpentry,Cabinets/Vanities,Carpentry,Ceiling,Appliances,Cabinets/Vanities,Carpentry,Carpentry,Bathtubs,Cleaning,Electric Service,Appliances
Backfill,Flower beds,Caulking/Sealants,Carpentry,Carpet Cleaning,Carpet Cleaning,Carpet Cleaning,Ceiling,Caulking/Sealants,,Ceiling,Carpet Cleaning,Carpentry,Caulking/Sealants,Cleaning,Bathtubs,Carpentry,Demolition,Demolition,Carpentry,Decks,Expense Deduction,Bathtubs
Bathroom Accessories,Lawn service,Decks,Carpet Cleaning,Ceiling,Ceiling,Ceiling,Ceiling Fans,Ceiling,,Ceiling Fans,Ceiling,Caulking/Sealants,Ceiling,Demolition,Cabinets/Vanities,Carpet Cleaning,Doors - Hardware,Doors - Exterior,Carpet Cleaning,Electrical,Fire Dept Fees,Cabinets/Vanities
Bathtubs,Mailbox,Demolition,Caulking/Sealants,Ceiling Fans,Ceiling Fans,Ceiling Fans,Cleaning,Ceiling Fans,,Cleaning,Ceiling Fans,Ceiling,Ceiling Fans,Door Stops,Carpentry,Ceiling,Doors - Interior,Doors - Hardware,Caulking/Sealants,Electrical Fixtures,Gas Service,Carpentry
Cabinet / Vanity Hardware,Mulch,Doors - Exterior,Ceiling,Cleaning,Cleaning,Cleaning,Demolition,Cleaning,,Demolition,Cleaning,Ceiling Fans,Cleaning,Doors - Exterior,Carpet Cleaning,Ceiling Fans,Electrical,Electrical,Ceiling,Lightbulbs,Inspections,Carpet Cleaning
Cabinets / Vanities,Other,Doors - Hardware,Ceiling Fans,Demolition,Demolition,Demolition,Door Stops,Countertops,,Door Stops,Demolition,Cleaning,Countertops,Doors - Hardware,Caulking/Sealants,Cleaning,Insulation,Insulation,Ceiling Fans,Lighting Fixtures,Permit Costs,Caulking/Sealants
Carpentry,Remove Bushes,Driveway Repairs,Cleaning,Door Stops,Door Stops,Door Stops,Drywall,Demolition,,Doors - Hardware,Door Stops,Countertops,Demolition,Doors - Interior,Ceiling,Countertops,Mold Remediation,Locksmith,Cleaning,Mold Remediation,Permits & Fees,Ceiling
Carpet Cleaning,Remove Tree,Electrical,"Completion Package - Smoke batteries, light bulbs, switch plates and door stops.",Doorbell Installation,Doors - Hardware,Doors - Hardware,Electrical,Door Stops,,Doors - Interior,Doors - Bifold,Demolition,Door Stops,Drywall,Ceiling Fans,Demolition,Other,Mold Remediation,"Completion Package - Smoke batteries, light bulbs, switch plates and door stops.",Other,Property Assessment,Ceiling Fans
